NAM	PRO	DAY	MON	YEA	HOU	TMZ	LAT	LON	PLA
Jones Jack	AC	14	01	1938	02:48	8h	34N6	118W21	Hollywood, CA
Jones Thomas	EX	21	07	1920	11:20	8h	34N4	117W45	Pomona, CA
Jordan Henry	SP	26	01	1935	17:10	5h	36N41	77W32	Emporia, VA
Jordan Payton	SP	19	03	1917	02:50	8h	33N58	118W3	Whittier, CA
Jordan William	PO	21	09	1944	18:01	4h	35N13	80W51	Charlotte, NC
Jovanovich William	EX	06	02	1920	02:30	7h	39N59	105W8	Louisville, CO
Judelson David	EX	22	11	1928	01:28	5h	40N53	74W3	Hackensack, NJ
Judge Thomas	PO	12	10	1934	15:35	7h	46N36	112W2	Helena, MT
Jurgensen Christian	SP	23	08	1934	05:45	5h	34N14	77W55	Wilmington, NC
Justice Charles	SP	18	05	1924	08:00	5h	35N36	82W33	Asheville, NC
Kael Pauline	XX	19	06	1919	14:00	7h	38N14	122W39	Petaluma, CA
Kahn Madeline	AC	29	09	1942	18:07	4h	42N23	71W2	Chelsea, MA
Kaltenbach Stephen	AR	05	05	1940	22:30	5h	42N19	85W11	Battle Creek, MI
Kaprow Allan	AR	23	08	1927	10:19	4h	39N21	74W27	Atlantic City, NJ
Kastenmeier Robert	PO	24	01	1924	04:00	6h	43N28	88W50	Beaver Dam, WI
Kauffman Craig	AR	31	03	1932	23:30	8h	34N8	118W12	Eagle Rock, CA
Kauffman Draper	MI	04	08	1911	14:00	8h	32N43	117W9	San Diego, CA
Keach Stacy	AC	02	06	1941	19:15	5h	32N5	81W6	Savannah, GA
Keating Stephen	EX	06	05	1918	14:10	5h	45N34	92W26	Graceville, MN
Keaton Diane	AC	05	01	1946	02:49	8h	34N4	118W15	Los Angeles, CA
Keith Brian	AC	14	11	1921	02:00	5h	40N40	74W7	Bayonne, NJ
Keller Robert	MI	09	02	1920	07:00	8h	37N49	122W16	Oakland, CA
Kellerman Sally	AC	02	06	1937	07:37	8h	33N47	118W11	Long Beach, CA
Kelly John	MI	08	07	1928	00:15	5h	41N6	80W39	Youngstown, OH
Kemp Jack	PO	13	07	1935	03:15	8h	34N4	118W15	Los Angeles, CA
Kendall Donald	EX	16	03	1921	07:00	8h	48N5	123W6	Sequim, WA
Kennedy Eugene	SC	04	09	1919	11:30	5h	41N52	87W39	Chicago, IL
Kennedy Xj	WR	21	08	1929	03:45	4h	40N53	74W35	Dover, NJ
Kerkorian Kirk	EX	06	06	1917	12:00	8h	36N44	119W47	Fresno, CA
Kert Larry	AC	05	12	1930	11:10	8h	34N4	118W15	Los Angeles, CA
Kerwin Joseph	MI	19	02	1932	17:49	6h	41N53	87W47	Oak Park, IL
Kesey Ken	WR	17	09	1935	16:24	7h	37N59	103W33	La Junta, CO
Kidd Billy	SP	13	04	1943	11:55	4h	44N29	73W12	Burlington, VT
Kidd Isaac	MI	14	08	1919	20:20	4h	41N30	81W42	Cleveland, OH
Kidd John	MI	15	04	1919	09:45	4h	41N30	81W42	Cleveland, OH
Kiefer Adolph	SP	27	06	1918	14:30	5h	41N52	87W39	Chicago, IL
Kilmer William	SP	05	09	1939	23:15	6h	39N3	95W40	Topeka, KS
King Billie	SP	22	11	1943	11:45	8h	33N47	118W11	Long Beach, CA
King Jerome	MI	14	07	1919	08:30	4h	41N6	80W39	Youngstown, OH
King Leamon	SP	13	02	1936	23:40	8h	36N13	119W21	Tulare, CA
King Robert	SP	20	06	1906	11:00	8h	34N4	118W15	Los Angeles, CA
Kirk Claude	PO	07	01	1926	01:50	8h	34N7	117W19	San Bernardino, CA
Kirkendall James	MI	19	02	1920	09:45	6h	41N17	96W1	Omaha, NE
Kirkland Joseph	PO	12	03	1922	00:00	5h	34N16	80W36	Camden, SC
Kitt Eartha	AC	26	01	1928	04:00	5h	33N37	81W6	North, SC
Klemmer Grover	SP	16	03	1921	18:57	8h	37N47	122W25	San Francisco, CA
Knebel Fletcher	WR	01	10	1911	20:15	6h	39N45	84W12	Dayton, OH
Kneip Richard	PO	07	01	1933	13:40	6h	44N17	96W8	Tyler, MN
Knievel Evel	SP	17	10	1938	14:40	7h	46N0	112W32	Butte, MT
Knoepfle John	WR	04	02	1923	14:35	6h	39N6	84W31	Cincinnati, OH
Knopoff Leon	SC	01	07	1925	21:33	8h	34N4	118W15	Los Angeles, CA
Knott Bill	WR	17	02	1940	22:30	5h	42N21	83W1	Gratiot County, MI
Knowles John	PO	23	05	1926	17:35	5h	41N52	87W39	Chicago, IL
Knudsen Conrad	EX	03	10	1923	03:30	8h	47N14	122W26	Tacoma, WA
Koch John	AR	18	08	1909	02:00	6h	41N39	83W33	Toledo, OH
Kohner Susan	AC	11	11	1936	05:24	8h	34N4	118W15	Los Angeles, CA
Kojis Donald	SP	15	07	1939	08:57	6h	43N2	87W55	Milwaukee, WI
Kono Tom	SP	27	07	1930	02:00	8h	38N35	121W29	Sacramento, CA
Koontz Elizabeth	PO	03	06	1919	23:15	4h	35N40	80W29	Salisbury, NC
Kozloff Joyce	AR	14	12	1942	10:56	4h	40N3	74W38	Somerville, NJ
Kraft Robert	SC	16	06	1927	03:50	8h	47N36	122W20	Seattle, WA
Kramer Gerald	SP	23	01	1936	17:30	7h	47N19	106W55	Jordan, MT
Kramer John	SP	01	08	1921	01:45	8h	36N10	115W9	Las Vegas, NV
Kristofferson Kris	AC	22	06	1936	15:30	6h	25N54	97W30	Brownsville, TX
Kroesen Frederick	MI	11	02	1923	20:55	5h	40N42	75W12	Phillipsburg, NJ
Krol John	XX	26	10	1910	07:30	6h	41N30	81W42	Cleveland, OH
Kucinich Dennis	PO	08	10	1946	17:53	5h	41N30	81W42	Cleveland, OH
La Belle James	MI	22	11	1925	10:00	6h	45N3	93W15	Columbia Heights, MN
Laing Robert	EX	01	11	1918	23:45	8h	47N36	122W20	Seattle, WA
Laird Ron	SP	31	05	1938	05:51	6h	38N15	85W46	Louisville, KY
Lamantia Philip	WR	23	10	1927	10:00	8h	37N47	122W25	San Francisco, CA
Lamb Willis	SC	12	07	1913	00:45	8h	34N4	118W15	Los Angeles, CA
Lambert Jack	SP	08	07	1952	10:00	4h	41N9	81W15	Ravenna, OH
Lamm Richard	PO	08	08	1935	07:50	6h	43N4	89W24	Madison, WI
Langland Joseph	WR	16	02	1917	05:30	6h	43N34	91W38	Spring Grove, MN
Lanier Willie	SP	21	08	1945	00:40	4h	36N50	78W44	Clover, VA
Larkin Arthur	EX	07	03	1917	03:40	6h	44N59	93W16	Minneapolis, MN
Larkin Frederick	EX	28	12	1913	04:45	8h	47N36	122W20	Seattle, WA
Larsen Arthur	SP	17	04	1925	02:00	8h	37N44	122W9	San Leandro, CA
Law John	AC	07	09	1937	00:25	8h	34N6	118W21	Hollywood, CA
Lawrence Carol	AC	05	09	1932	14:35	5h	41N54	87W52	Melrose Park, IL
Layne Bobby	SP	19	12	1926	09:20	6h	32N47	96W49	Dallas, TX
Lazarus Ralph	EX	30	01	1914	11:15	6h	39N58	83W0	Columbus, OH
Le Blond Richard	EX	16	11	1920	15:25	6h	39N6	84W31	Cincinnati, OH
Lebaron Edward	SP	07	01	1930	14:20	8h	37N58	122W32	San Rafael, CA
Lebeau C	SP	09	09	1937	08:15	5h	39N52	83W27	London, OH
Leber Walter	MI	12	09	1918	13:00	5h	38N37	90W12	St Louis, MO
Lederberg Joshua	SC	23	05	1925	12:01	4h	40N48	74W12	Glen Ridge, NJ
Lee Michele	AC	24	06	1942	01:25	7h	34N4	118W15	Los Angeles, CA
Lee Robert	WR	15	10	1918	21:55	5h	41N22	82W9	Elyria, OH
Lee Sammy	SP	01	08	1920	07:05	8h	36N44	119W47	Fresno, CA
Leek Frederick	MI	12	10	1914	00:45	8h	37N58	121W17	Stockton, CA
Leigh Janet	AC	06	07	1927	14:15	8h	37N18	120W29	Merced, CA
Leighton Robert	SC	10	09	1919	09:15	4h	42N20	83W3	Detroit, MI
Lekson John	MI	14	04	1917	10:00	6h	40N7	80W56	Fairpoint, OH
Lema Anthony	SP	25	02	1934	20:14	8h	37N49	122W16	Oakland, CA
Lemon Meadow	SP	25	04	1933	18:00	5h	34N0	81W14	Lexington, SC
Lenz Rick	AC	21	11	1939	16:55	6h	39N48	89W39	Springfield, IL
Levan Cj	MI	13	02	1923	07:50	6h	39N6	94W35	Kansas City, MO
Levine James	AR	23	06	1943	17:33	4h	39N6	84W31	Cincinnati, OH
Lewis David	EX	06	07	1917	05:00	5h	33N30	81W59	North Augusta, SC
Lewis Henry	AR	16	10	1932	13:43	8h	34N4	118W15	Los Angeles, CA
Lewis Homer	MI	01	02	1919	09:05	5h	35N36	82W33	Asheville, NC
Lewis Jerry	AC	16	03	1926	12:15	5h	40N44	74W10	Newark, NJ
Lewis Leo	MI	24	04	1921	10:00	6h	30N25	87W13	Pensacola, FL
Lewis Roger	EX	11	01	1912	20:45	8h	34N4	118W15	Los Angeles, CA
Lightner Lawrence	MI	13	10	1918	03:05	5h	41N43	81W15	Painesville, OH
Lillehei Clarence	SC	23	10	1918	12:03	5h	44N59	93W16	Minneapolis, MN
Lillehei Richard	SC	10	12	1927	01:11	6h	44N59	93W16	Minneapolis, MN
Lilly Bob	SP	26	07	1939	10:00	6h	33N22	98W45	Olney, TX
Lind Don	MI	18	05	1930	23:28	7h	40N37	111W54	Midvale, UT
Lindgren Gerry	SP	09	03	1946	23:45	8h	47N40	117W24	Spokane, WA
Lippold Richard	AR	03	05	1915	07:20	6h	43N2	87W55	Milwaukee, WI
Lipscomb William	SC	09	12	1919	10:32	5h	41N30	81W42	Cleveland, OH
Liquori Martin	SP	11	09	1949	17:16	4h	40N49	74W13	Montclair, NJ
Littler Eugene	SP	21	07	1930	08:23	8h	32N43	117W9	San Diego, CA
Logan Karen	SP	10	06	1949	00:51	8h	33N46	117W52	Santa Ana, CA
Lolich Michael	SP	12	09	1940	19:04	8h	45N32	122W37	Portland, OR
London Julie	AC	26	09	1926	18:00	8h	38N26	122W43	Santa Rosa, CA
Long Robert	MI	29	05	1920	06:30	6h	39N6	94W35	Kansas City, MO
Lopez Nancy	SP	06	01	1957	16:00	8h	33N50	118W19	Torrance, CA
Losey Joseph	AC	14	01	1909	15:45	6h	43N48	91W15	La Crosse, WI
Louie Marcelyn	SP	10	09	1953	22:01	7h	37N47	122W25	San Francisco, CA
Lousma Jack	MI	29	02	1936	08:38	5h	42N58	85W40	Grand Rapids, MI
Love John	PO	29	11	1916	09:30	6h	40N28	88W22	Gibson City, IL
Lovell James	MI	25	03	1928	02:10	5h	41N30	81W42	Cleveland, OH
Lowenstein Allard	PO	16	01	1929	15:22	5h	40N44	74W10	Newark, NJ
Lowry Bates	XX	21	06	1923	01:45	5h	39N6	84W31	Cincinnati, OH
Lowry Robert	WR	29	03	1919	20:08	6h	39N6	84W31	Cincinnati, OH
Lucas George	AC	14	05	1944	05:40	7h	37N39	121W0	Modesto, CA
Lucas Jerry	SP	30	03	1940	03:00	5h	39N31	84W24	Middletown, OH
Lucas Luce	EX	29	08	1917	10:00	6h	42N44	90W29	Platteville, WI
Lucey Patrick	PO	21	03	1918	15:30	6h	43N48	91W15	La Crosse, WI
Luisetti Angelo	SP	16	06	1916	08:30	8h	37N47	122W25	San Francisco, CA
Lynde Paul	AC	13	06	1926	08:15	5h	40N23	82W29	Mt Vernon, OH
Lyness Douglas	MI	06	07	1919	16:28	5h	44N59	93W16	Minneapolis, MN
Lynn James	PO	27	02	1927	23:20	5h	41N30	81W42	Cleveland, OH
Lynn Janet	PO	06	04	1953	00:33	6h	41N52	87W39	Chicago, IL
Mac Adams Lewis	WR	12	10	1944	07:04	5h	31N28	100W26	San Angelo, TX
Mac Donald Ross	WR	13	12	1915	03:10	8h	37N14	121W59	Los Gatos, CA
Mac Neil Cornell	AR	24	09	1922	02:56	6h	44N59	93W16	Minneapolis, MN
Mac Rae Albert	AC	12	03	1921	07:15	5h	40N46	74W13	East Orange, NJ
Mack Thomas	SP	01	11	1943	08:45	5h	41N30	81W42	Cleveland, OH
Mackay Berry	SP	31	08	1935	03:43	5h	39N6	84W31	Cincinnati, OH
Madison Guy	AC	19	01	1922	00:20	8h	35N23	119W1	Bakersfield, CA
Mahan Larry	SP	21	11	1943	18:34	7h	44N56	123W2	Salem, OR
Mailer Norman	WR	31	01	1923	09:05	5h	40N18	74W0	Long Branch, NJ
Mainardi Patricia	AR	10	11	1942	22:15	4h	40N55	74W11	Paterson, NJ
Malden Karl	AC	22	03	1912	17:00	6h	41N35	87W20	Gary, IN
Maloy Robert	MI	14	02	1924	21:35	6h	39N30	88W10	Charleston, IL
Mann Ralph	SP	16	08	1949	09:05	8h	33N47	118W11	Long Beach, CA
Mann Richard	SP	13	06	1934	16:50	7h	40N45	111W53	Salt Lake City, UT
Marcheschi Louis	AR	05	04	1945	23:22	7h	37N34	122W19	San Mateo, CA
Maris Roger	SP	10	09	1934	13:00	6h	47N25	92W55	Hibbing, MN
Markert Clement	SC	11	04	1917	14:00	7h	38N4	103W13	Las Animas, CO
Marshall Burke	EX	01	10	1922	02:11	5h	40N37	74W25	Plainfield, NJ
Martin Billy	XX	16	05	1928	15:43	8h	37N52	122W16	Berkeley, CA
Martin Dean	AC	17	06	1917	23:55	6h	40N22	80W37	Steubenville, OH
Martin Edwin	PO	21	05	1908	04:30	6h	39N45	84W12	Dayton, OH
Martin Harry	MI	04	01	1911	20:00	6h	40N48	82W59	Bucyrus, OH
Mason Marsha	AC	03	04	1942	11:12	5h	38N37	90W12	St Louis, MO
Masters William	SC	27	12	1915	19:20	5h	41N30	81W42	Cleveland, OH
Matheson Salve	MI	11	08	1920	14:25	8h	47N36	122W20	Seattle, WA
Mathews Edwin	SP	13	10	1931	16:00	6h	33N26	94W6	Texarkana, TX
Mathias Robert	SP	17	11	1930	07:47	8h	36N13	119W21	Tulare, CA
Matson James	SP	05	03	1945	20:50	5h	32N23	94W53	Kilgore, TX
Matson Oliver	SP	01	05	1930	13:00	6h	30N57	95W22	Trinity, TX
Matsunaga Spark	PO	08	10	1916	22:00	10h30	21N54	159W28	Kukuiula, HI
Matthews Daniel	MI	31	12	1931	09:28	8h	34N11	118W26	Van Nys, CA
Matthews Jack	WR	22	07	1925	10:05	5h	39N58	83W0	Columbus, OH
Matthews William	WR	11	11	1942	08:39	4h	39N6	84W31	Cincinnati, OH
Mattingly Thomas	MI	17	03	1936	18:22	5h	41N52	87W39	Chicago, IL
Mauch Gene	XX	18	11	1925	19:15	6h	38N50	97W37	Salina, KS
May Rollo	WR	21	04	1909	02:20	5h	40N46	83W49	Ada, OH
Mayfield Julian	WR	06	06	1928	06:00	5h	34N56	82W14	Greer, SC
Mayo George	MI	29	11	1918	17:03	8h	37N47	122W25	San Francisco, CA
Mayo Robert	PO	15	03	1916	10:15	8h	47N36	122W20	Seattle, WA
Mays Willie	SP	06	05	1931	22:30	6h	33N22	86W58	Westfield, AL
Mc Adoo Robert	SP	25	09	1951	19:38	5h	36N4	79W48	Greensboro, NC
Mc Alister Robert	MI	15	09	1923	20:45	6h	36N44	88W38	Mayfield, KY
Mc Bride Patricia	AR	23	08	1942	20:49	4h	40N53	74W1	Teaneck, NJ
Mc Cambridge Mercedes	AC	17	03	1918	05:00	6h	41N32	88W5	Joliet, IL
Mc Carthy Eugene	PO	29	03	1916	04:00	6h	45N19	94W24	Watkins, MN
Mc Carthy Kevin	AC	15	02	1914	04:00	8h	47N36	122W20	Seattle, WA
Mc Carthy Marie	WR	21	06	1912	17:00	8h	47N36	122W20	Seattle, WA
Mc Closkey Paul	PO	29	09	1927	08:35	8h	34N7	117W19	San Bernardino, CA
Mc Clure Doug	AC	11	05	1935	17:49	8h	40N52	124W5	Glendale, CA
Mc Clure Michael	WR	20	10	1932	21:00	6h	39N51	96W39	Marysville, KS
Mc Connell Richard	MI	19	11	1923	16:50	5h	40N49	73W59	Cliffside Park, NJ
Mc Covey Willy	SP	10	01	1938	12:15	6h	30N41	88W3	Mobile, AL
Mc Cracken John	AR	09	12	1934	06:51	8h	37N52	122W16	Berkeley, CA
Mc Crea Joel	AC	05	11	1905	07:00	8h	34N4	118W15	Los Angeles, CA
Mc Cullouch Earl	SP	10	01	1946	04:00	6h	33N37	95W3	Clarksville, TX
Mc Cutcheon Keith	MI	10	08	1915	08:00	6h	40N37	80W35	East Liverpool, OH
Mc Daniel Boyce	SC	11	06	1917	06:20	5h	35N14	82W44	Brevard, NC
Mc Dermott Richard	SP	20	09	1940	05:35	5h	43N37	83W50	Essexville, MI
Mc Divitt James	MI	10	06	1929	14:16	5h	41N52	87W39	Chicago, IL
Mc Elhenny Hugh	SP	31	12	1928	06:45	8h	34N4	118W15	Los Angeles, CA
Mc Enery John	MI	30	12	1925	20:05	8h	37N47	122W25	San Francisco, CA
Mc Kee George	MI	28	04	1923	21:00	5h	34N53	82W42	Pickins, SC
Mc Keen Chester	MI	18	03	1923	23:30	5h	40N53	82W40	Shelby, OH
Mc Kenzie James	AC	01	05	1926	16:04	6h	44N16	88W25	Appleton, WI
Mc Kinley Charles	SP	05	01	1941	01:20	6h	38N37	90W12	St Louis, MO
Mc Kissick Floyd	PO	09	03	1922	19:45	5h	35N36	82W33	Asheville, NC
Mc Laughlin John	MI	21	09	1918	17:10	4h	32N46	79W56	Charleston, SC
Mc Laughlin John	MI	24	12	1917	18:05	8h	37N47	122W25	San Francisco, CA
Mc Morries Edwin	MI	15	12	1921	02:30	6h	30N25	87W13	Pensacola, FL
Mc Pherson John	MI	04	10	1917	11:10	6h	47N31	92W32	Virginia, MN
Mc Swiney James	EX	13	11	1915	11:00	6h	36N7	87W38	Mc Ewen, TN
Mc Winney Madeline	EX	11	03	1922	10:40	7h	39N44	104W59	Denver, CO
Meeker Ralph	AC	21	11	1920	15:10	6h	44N59	93W16	Minneapolis, MN
Melchert Jim	AR	02	12	1930	00:31	6h	40N26	84W23	New Bremen, OH
Mellen Thomas	MI	26	07	1918	22:45	7h	37N47	122W25	San Francisco, CA
Menk Louis	EX	08	04	1918	21:00	6h	39N39	104W59	Englewood, CO
Mercer Marian	AC	26	11	1935	01:20	5h	41N5	81W31	Akron, OH
Meredith Burgess	AC	16	11	1907	02:00	6h	41N30	81W42	Cleveland, OH
Metcalf Robert	SC	13	11	1916	10:00	6h	39N58	83W0	Columbus, OH
Mettler Ruben	EX	23	02	1924	17:00	8h	35N30	119W16	Shafter, CA
Metzger Louis	MI	18	11	1916	08:00	8h	37N47	122W25	San Francisco, CA
Michaelis Frederick	MI	04	03	1917	10:45	6h	39N6	94W35	Kansas City, MO
Middlecoff Gary	SP	06	01	1921	11:00	6h	35N53	89W24	Halls, TN
Midler Bette	AC	01	12	1945	14:19	10h30	21N19	157W52	Honolulu, HI
Mikan George	SP	18	06	1924	13:00	6h	41N32	88W5	Joliet, IL
Miller Allen	SP	10	08	1948	18:44	7h	32N43	117W9	San Diego, CA
Miller Freddie	SP	03	04	1911	03:00	6h	39N6	84W31	Cincinnati, OH
Miller John	SP	29	04	1947	22:46	8h	37N47	122W25	San Francisco, CA
Miller Neal	SC	03	08	1909	04:30	6h	43N2	87W55	Milwaukee, WI
Millett Kate	WR	14	09	1934	19:40	6h	44N57	93W6	St Paul, MN
Milton Theodore	MI	29	12	1915	13:40	10h30	21N30	158W4	Schofield Barracks, HI
Mimieux Yvette	AC	08	01	1941	07:02	8h	34N6	118W21	Hollywood, CA
Minnelli Liza	AC	12	03	1946	07:58	8h	34N4	118W15	Los Angeles, CA
Minow Newton	EX	17	01	1926	12:10	6h	43N2	87W55	Milwaukee, WI
Minter Charles	MI	20	08	1925	05:25	6h	32N28	84W59	Columbus, GA
Mitchell Edgar	MI	17	09	1930	04:30	6h	34N49	102W24	Hereford, TX
Mitchell Frank	MI	18	08	1921	05:30	6h	31N42	98W7	Indian Gap, TX
Mitchell James	AC	29	02	1920	08:50	8h	38N35	121W29	Sacramento, CA
Mitchell Lydell	SP	30	05	1949	02:59	4h	39N34	75W28	Salem, NJ
Mitchum James	AC	08	05	1941	21:55	8h	34N4	118W15	Los Angeles, CA
Moncrief William	MI	16	08	1921	14:00	7h	39N44	104W59	Denver, CO
Mondale Walter	PO	05	01	1928	10:30	6h	43N32	94W38	Ceylon, MN
Montgomery Deane	SC	02	09	1909	10:00	6h	44N12	91W52	Weaver, MN
Montgomery Earl	AC	17	04	1921	13:44	6h	35N8	90W3	Memphis, TN
Montgomery Elisabeth	AC	15	04	1933	16:38	8h	34N4	118W15	Los Angeles, CA
Moor Bill	AC	13	07	1931	01:49	5h	41N39	83W33	Toledo, OH
Moore George	SC	22	02	1920	12:45	6h	44N59	93W16	Minneapolis, MN
Moore Harley	MI	25	12	1918	01:00	6h	40N25	91W8	Carthage, IL
Moore Harold	MI	13	02	1922	09:00	6h	37N49	85W28	Bardstown, KY
Moore Ostis	MI	20	09	1926	17:00	5h	35N13	80W51	Charlotte, NC
Moore Terry	AC	07	01	1929	14:15	8h	34N4	118W15	Los Angeles, CA
Moreau James	MI	05	02	1921	11:45	6h	45N39	95W23	Glenwood, MN
Morgan Joe	SP	19	09	1943	21:20	5h	33N35	96W11	Bonham, TX
Morgan Lee	EX	04	01	1920	11:00	6h	41N12	90W45	Aledo, IL
Morgan Robert	PO	05	10	1925	05:00	5h	35N24	78W49	Lillington, NC
Moriarty Michael	AC	05	04	1941	18:09	5h	42N20	83W3	Detroit, MI
Morin Milt	SP	15	10	1942	20:30	4h	42N32	71W46	Leominster, MA
Morley Roger	EX	21	06	1931	17:43	5h	41N30	81W42	Cleveland, OH
Morris Robert	AR	09	02	1931	14:10	6h	39N6	94W35	Kansas City, MO
Morrison Toni	WR	18	02	1931	11:00	5h	41N28	82W11	Lorain, OH
Morrow Bobby	SP	15	10	1935	12:05	6h	26N12	97W42	Harlingen, TX
Morton Roger	PO	19	09	1914	12:00	6h	38N15	85W46	Louisville, KY
Motherwell Robert	AR	24	01	1915	22:45	8h	46N59	123W50	Aberdeen, WA
Mott Stewart	PO	04	12	1937	09:45	5h	43N1	83W41	Flint, MI
Moyer Denny	SP	08	08	1939	10:51	8h	45N32	122W37	Portland, OR
Munson Thurman	SP	07	06	1947	13:50	5h	41N5	81W31	Akron, OH
Murayama Makio	SC	10	08	1912	05:40	8h	37N47	122W25	San Francisco, CA
Murphy Raymond	MI	14	01	1930	21:30	7h	38N14	104W36	Pueblo, CO
Murphy William	EX	17	06	1907	10:00	6h	44N15	88W24	Appleton, WI
Murray Don	AC	31	07	1929	22:10	8h	34N6	118W21	Hollywood, CA
Murray Raymond	MI	30	01	1913	12:15	8h	34N4	118W15	Los Angeles, CA
Murro Mark	SP	04	06	1949	05:10	4h	40N44	74W10	Newark, NJ
Myers Dale	XX	08	01	1922	04:45	6h	39N6	94W35	Kansas City, MO
Naber John	SP	20	01	1956	09:26	6h	42N3	87W41	Evanston, IL
Nader George	AC	19	10	1921	18:20	8h	34N9	118W9	Pasadena, CA
Nash Philleo	PO	25	10	1909	03:45	6h	44N23	89W49	Wisc. Rapids, WI
Nathan Leonard	WR	08	11	1924	15:30	8h	34N4	118W15	Los Angeles, CA
Nathans Daniel	SC	30	10	1928	07:15	4h	39N45	75W33	Wilmington, DE
Neal Patricia	AC	20	01	1926	04:30	6h	36N40	84W03	Packard, KY
Neel James	SC	22	03	1915	16:00	6h	39N24	84W34	Hamilton, OH
Nelson Douglas	MI	09	01	1921	01:15	8h	46N11	123W50	Astoria, OR
Nelson Rick	AC	08	05	1940	13:25	4h	40N53	74W1	Teaneck, NJ
Nelson Willie	AR	30	04	1933	12:30	6h	31N53	97W4	Abbott, TX
Neri Manuel	AR	12	04	1930	00:30	8h	36N42	119W33	Sanger, CA
Newberry Janet	SP	06	08	1953	13:00	7h	34N4	118W15	Los Angeles, CA
Newman Paul	AC	26	01	1925	06:30	5h	41N30	81W42	Cleveland, OH
Ney Edward	EX	26	05	1925	07:00	6h	44N57	93W6	St Paul, MN
Nicklaus Jack	SP	21	01	1940	03:10	5h	39N58	83W0	Columbus, OH
Nitschke Raymond	SP	29	12	1936	18:30	6h	41N56	87W49	Elmwood Park, IL
Noland Kenneth	AR	10	04	1924	17:00	5h	35N36	82W33	Asheville, NC
Nova Lou	SP	16	03	1915	06:00	8h	34N4	118W15	Los Angeles, CA
Nunn Donald	MI	28	06	1918	06:10	5h	44N57	93W6	St Paul, MN
O'Brien Parry	SP	28	01	1932	18:04	8h	34N1	118W29	Santa Monica, CA
O'Callaghan Mike	PO	10	09	1929	00:30	6h	43N48	91W15	La Crosse, WI
O'Hara Tom	SP	05	07	1942	11:44	5h	41N52	87W39	Chicago, IL
O'Neal Arthur	PO	15	05	1936	00:15	8h	47N34	122W38	Bremerton, WA
O'Neal Ryan	AC	20	04	1941	09:34	8h	34N4	118W15	Los Angeles, CA
O'Neal Tatum	AC	05	11	1963	03:38	8h	34N4	118W15	Los Angeles, CA
Oates Warren	AC	05	07	1928	05:00	6h	37N13	87W14	Depoy, KY
Oberlin David	PO	06	01	1920	03:00	6h	39N34	95W7	Atchison, KS
Obregon Eugene	MI	12	11	1930	01:45	8h	34N4	118W15	Los Angeles, CA
Ochs Elmer	MI	11	04	1925	06:58	6h	38N59	88W10	Newton, IL
Oelman Robert	EX	09	06	1909	05:00	6h	39N45	84W12	Dayton, OH
Ogilvie Richard	PO	22	02	1923	00:15	6h	39N6	94W35	Kansas City, MO
Okun Arthur	PO	28	11	1928	23:20	5h	40N44	74W4	Jersey City, NJ
Olsen Merlin	SP	15	09	1940	01:30	7h	41N44	111W50	Logan, UT
Opel John	EX	05	01	1925	10:00	6h	39N6	94W35	Kansas City, MO
Orem Charles	EX	23	08	1916	14:45	6h	36N10	86W47	Nashville, TN
Osterbrock Donald	SC	13	07	1924	10:25	5h	39N6	84W31	Cincinnati, OH
Ott David	MI	31	07	1922	19:40	10h30	21N30	158W4	Schofield Barr, HI
Ottina John	EX	05	11	1931	23:11	8h	34N4	118W15	Los Angeles, CA
Otto James	SP	05	01	1938	20:26	6h	44N58	89W38	Wausau, WI
Overmyer Robert	MI	14	07	1936	09:30	5h	41N28	82W11	Lorain, OH
Owen Guy	WR	24	02	1925	19:00	5h	34N29	78W39	Clarkton, NC
Owen Nancy	SC	30	10	1915	09:15	6h	42N57	88W22	Genesee, WI
Owen Nancy	SP	02	05	1943	17:18	4h	41N30	81W42	Cleveland, OH
Owens Robert	MI	13	09	1920	12:10	5h	34N51	82W24	Greenville, SC
Paar Jack	AC	01	05	1917	23:55	6h	40N48	81W23	Canton, OH
Packard David	EX	07	09	1912	14:15	7h	38N14	104W36	Pueblo, CO
Page Alan	SP	07	08	1945	20:23	4h	40N48	81W23	Canton, OH
Paget Debra	AC	19	08	1933	08:00	7h	39N44	104W59	Denver, CO
Paige Janis	AC	16	09	1922	09:05	8h	47N14	122W26	Tacoma, WA
Paine Thomas	PO	09	11	1921	14:25	8h	37N52	122W16	Berkeley, CA
Palmer Gregg	AC	25	01	1927	05:50	8h	37N47	122W25	San Francisco, CA
Palmer James	MI	23	01	1917	20:00	6h	38N6	93W3	Climax Springs, MO
Pardee Arthur	SC	13	07	1921	07:00	5h	41N52	87W39	Chicago, IL
Parker Eleanor	AC	26	06	1922	07:00	6h	39N44	83W49	Cedarville, OH
Parker Jack	EX	06	07	1918	23:50	7h	37N27	122W10	Palo Alto, CA
Parkinson Thomas	WR	24	02	1920	08:05	8h	37N47	122W25	San Francisco, CA
Parks Robert	XX	01	04	1922	08:30	8h	34N4	118W15	Los Angeles, CA
Parseghian Ara	XX	21	05	1923	08:05	5h	41N5	81W31	Akron, OH
Partridge David	AR	05	10	1919	22:30	5h	41N5	81W31	Akron, OH
Paschall James	MI	31	03	1923	19:55	5h	35N19	77W47	La Grange, NC
Paschall Lee	MI	21	01	1922	11:00	7h	40N37	103W13	Sterling, CO
